chunk_id,img_id,score,method
T_00001,I_00001,0.61,page_match
T_00001,I_00002,0.61,page_match
T_00001,I_00003,0.61,page_match
T_00001,I_00004,0.61,page_match
T_00021,I_00006,0.61,page_match
T_00022,I_00007,0.61,page_match
T_00023,I_00007,0.61,page_match
T_00027,I_00014,0.61,page_match
T_00027,I_00015,0.61,page_match
T_00027,I_00016,0.61,page_match
T_00027,I_00017,0.61,page_match
T_00027,I_00018,0.61,page_match
T_00028,I_00033,0.61,page_match
T_00028,I_00034,0.61,page_match
T_00028,I_00035,0.61,page_match
T_00029,I_00036,0.61,page_match
T_00029,I_00037,0.61,page_match
T_00029,I_00038,0.61,page_match
T_00031,I_00039,0.61,page_match
T_00033,I_00040,0.61,page_match
T_00034,I_00040,0.61,page_match
T_00036,I_00041,0.61,page_match
T_00036,I_00042,0.61,page_match
T_00037,I_00043,0.61,page_match
T_00037,I_00044,0.61,page_match
T_00037,I_00045,0.61,page_match
T_00037,I_00046,0.61,page_match
T_00037,I_00047,0.61,page_match
T_00041,I_00049,0.61,page_match
T_00045,I_00053,0.61,page_match
T_00045,I_00054,0.61,page_match
T_00045,I_00055,0.61,page_match
T_00045,I_00056,0.61,page_match
T_00046,I_00057,0.61,page_match
T_00046,I_00058,0.61,page_match
T_00046,I_00059,0.61,page_match
T_00046,I_00060,0.61,page_match
T_00046,I_00061,0.61,page_match
T_00047,I_00062,0.61,page_match
T_00047,I_00063,0.61,page_match
T_00048,I_00064,0.61,page_match
T_00049,I_00065,0.61,page_match
T_00049,I_00066,0.61,page_match
T_00049,I_00067,0.61,page_match
T_00049,I_00068,0.61,page_match
T_00052,I_00069,0.61,page_match
T_00058,I_00070,0.61,page_match
T_00059,I_00071,0.61,page_match
T_00059,I_00072,0.61,page_match
T_00059,I_00073,0.61,page_match
T_00060,I_00074,0.61,page_match
T_00061,I_00075,0.61,page_match
T_00061,I_00076,0.61,page_match
T_00061,I_00077,0.61,page_match
T_00061,I_00078,0.61,page_match
T_00061,I_00079,0.61,page_match
T_00062,I_00086,0.61,page_match
T_00062,I_00087,0.61,page_match
T_00062,I_00088,0.61,page_match
T_00062,I_00089,0.61,page_match
T_00062,I_00090,0.61,page_match
T_00063,I_00095,0.61,page_match
T_00064,I_00096,0.61,page_match
T_00064,I_00097,0.61,page_match
T_00064,I_00098,0.61,page_match
T_00066,I_00099,0.61,page_match
T_00068,I_00100,0.61,page_match
T_00068,I_00101,0.61,page_match
T_00068,I_00102,0.61,page_match
T_00069,I_00103,0.61,page_match
T_00069,I_00104,0.61,page_match
T_00070,I_00105,0.61,page_match
T_00070,I_00106,0.61,page_match
T_00070,I_00107,0.61,page_match
T_00070,I_00108,0.61,page_match
T_00071,I_00109,0.61,page_match
T_00071,I_00110,0.61,page_match
T_00072,I_00111,0.61,page_match
T_00072,I_00112,0.61,page_match
T_00072,I_00113,0.61,page_match
T_00073,I_00114,0.61,page_match
T_00073,I_00115,0.61,page_match
T_00073,I_00116,0.61,page_match
T_00074,I_00117,0.61,page_match
T_00074,I_00118,0.61,page_match
T_00075,I_00119,0.61,page_match
T_00075,I_00120,0.61,page_match
T_00076,I_00121,0.61,page_match
T_00077,I_00125,0.61,page_match
T_00077,I_00126,0.61,page_match
T_00077,I_00127,0.61,page_match
T_00077,I_00128,0.61,page_match
T_00078,I_00125,0.61,page_match
T_00078,I_00126,0.61,page_match
T_00078,I_00127,0.61,page_match
T_00078,I_00128,0.61,page_match
T_00079,I_00125,0.61,page_match
T_00079,I_00126,0.61,page_match
T_00079,I_00127,0.61,page_match
T_00079,I_00128,0.61,page_match
T_00080,I_00129,0.61,page_match
T_00080,I_00130,0.61,page_match
T_00081,I_00131,0.61,page_match
T_00082,I_00132,0.61,page_match
T_00083,I_00133,0.61,page_match
T_00088,I_00135,0.61,page_match
T_00090,I_00139,0.61,page_match
T_00090,I_00140,0.61,page_match
T_00091,I_00144,0.61,page_match
T_00092,I_00144,0.61,page_match
T_00103,I_00145,0.61,page_match
T_00103,I_00146,0.61,page_match
T_00104,I_00145,0.61,page_match
T_00104,I_00146,0.61,page_match
T_00114,I_00147,0.61,page_match
T_00115,I_00148,0.61,page_match
T_00115,I_00149,0.61,page_match
T_00115,I_00150,0.61,page_match
T_00115,I_00151,0.61,page_match
T_00116,I_00148,0.61,page_match
T_00116,I_00149,0.61,page_match
T_00116,I_00150,0.61,page_match
T_00116,I_00151,0.61,page_match
T_00117,I_00152,0.61,page_match
T_00117,I_00153,0.61,page_match
