entity_id,canonical_name,normalized_name,entity_type
E_000001,0-mm mark,0-mm mark,ANATOMICAL_SITE
E_000002,abdominal,abdominal,ANATOMICAL_SITE
E_000003,abnormally shaped heads,abnormally shaped heads,ANATOMICAL_SITE
E_000004,acute kidney,acute kidney,ANATOMICAL_SITE
E_000005,affected area,affected area,ANATOMICAL_SITE
E_000006,Affected glands,affected glands,ANATOMICAL_SITE
E_000007,affected part,affected part,ANATOMICAL_SITE
E_000008,affected skin,affected skin,ANATOMICAL_SITE
E_000009,anal pore,anal pore,ANATOMICAL_SITE
E_000010,anterior extremity,anterior extremity,ANATOMICAL_SITE
E_000011,anus,anus,ANATOMICAL_SITE
E_000012,AP,ap,ANATOMICAL_SITE
E_000013,appropriate cavity,appropriate cavity,ANATOMICAL_SITE
E_000014,area,area,ANATOMICAL_SITE
E_000015,area of skin,area of skin,ANATOMICAL_SITE
E_000016,areas of skin,areas of skin,ANATOMICAL_SITE
E_000017,areas where nerves run near to the skin surface,areas where nerves run near to the skin surface,ANATOMICAL_SITE
E_000018,arm,arm,ANATOMICAL_SITE
E_000019,armadillo,armadillo,ANATOMICAL_SITE
E_000020,arteries,arteries,ANATOMICAL_SITE
E_000021,axillae,axillae,ANATOMICAL_SITE
E_000022,back,back,ANATOMICAL_SITE
E_000023,back of the throat,back of the throat,ANATOMICAL_SITE
E_000024,ball of the finger,ball of the finger,ANATOMICAL_SITE
E_000025,base,base,ANATOMICAL_SITE
E_000026,base of the head,base of the head,ANATOMICAL_SITE
E_000027,base of the head of the tap,base of the head of the tap,ANATOMICAL_SITE
E_000028,base of the neck,base of the neck,ANATOMICAL_SITE
E_000029,between the toes,between the toes,ANATOMICAL_SITE
E_000030,big toe,big toe,ANATOMICAL_SITE
E_000031,blood vessel,blood vessel,ANATOMICAL_SITE
E_000032,blood vessels,blood vessels,ANATOMICAL_SITE
E_000033,bloodstream,bloodstream,ANATOMICAL_SITE
E_000034,body,body,ANATOMICAL_SITE
E_000035,body sites,body sites,ANATOMICAL_SITE
E_000036,bone marrow,bone marrow,ANATOMICAL_SITE
E_000037,Boss,boss,ANATOMICAL_SITE
E_000038,brain,brain,ANATOMICAL_SITE
E_000039,brain and spinal column,brain and spinal column,ANATOMICAL_SITE
E_000040,breast bone,breast bone,ANATOMICAL_SITE
E_000041,burn,burn,ANATOMICAL_SITE
E_000042,burns,burns,ANATOMICAL_SITE
E_000043,bursa,bursa,ANATOMICAL_SITE
E_000044,buttocks,buttocks,ANATOMICAL_SITE
E_000045,caecum,caecum,ANATOMICAL_SITE
E_000046,calf,calf,ANATOMICAL_SITE
