region_id,page_id,pdf_page,start_char,end_char_exclusive,region_type,detection_method,reviewed,x0,y0,x1,y1,row_count,col_count,token_count,text_sha256,text_preview
XR_000001,P_0015,15,296,445,TABLE,pymupdf_layout,true,70.86,197.568,297.595,279.94,0,0,27,a200ad8bf0e5cce51899581f9d200fced0504194266e8122c6e00e0aa6ce698a,Table 1.1 SI base units used in this manual Quantity Unit name Symbol Length metre m Mass kilogram kg Time second s Amount of substance mole mol
XR_000002,P_0015,15,2092,2246,TABLE,pymupdf_layout,true,70.86,621.288,297.573,702.79,0,0,28,ca205b05fa3b41da5c08b6bd967737899de4d65342452a19f824e8954e0ce221,Table 1.2 SI derived units used in this manual Quantity Unit name Symbol Area square metre m2 Volume cubic metre m3 Speed metre per second m/s or ms-1
XR_000003,P_0016,16,925,1237,TABLE,pymupdf_layout,true,184.3,254.871,524.458,363.047,0,0,63,1d5627367a2b4df528832f8f539aaa4b0921557443b9492818bcaccc2a4c10e7,Table 1.3 SI prefixes Factor Prefix Symbol Multiply by 1 000000 or 1 million (¥ 106) mega M Multiply by 1000 (¥ 103) kilo k Divide by 100 (¥ 0.01 or 10-2) centi
XR_000004,P_0017,17,22,425,TABLE,pymupdf_layout,true,70.89,99.902,538.603,205.187,0,0,71,5ed5495ca25e6e63bb2c88978281fa2f518b59c5ce900192c8f2d8ad66dc4a6e,Table 1.4 SI derived units of volume Unit name Symbol Equivalent in Unit name Symbol Equivalent in Equivalent in cubic metres (m3) litres (l) millilitres (ml) C
XR_000005,P_0018,18,1593,3060,TABLE,pymupdf_layout,true,56.74,415.878,523.873,750.587,0,0,243,01e6be6c134c5de2d7dfc4bd3b837762c37dd0983b18df868c9c96464e19617b,Table 1.5 Metric and traditional quantity names and units Quantity name SI unit Traditional quantity Traditional unit Conversion factors and examplesa name Eryt
XR_000006,P_0019,19,22,1674,TABLE,pymupdf_layout,true,70.89,99.768,538.613,479.807,0,0,259,39a1d44ca9f7e419b703ad8f121d641c55a2ac2c117885b55475785c7bce33ca,Table 1.5 (cont.) Quantity name SI unit Traditional quantity Traditional unit Conversion factors and examplesa name Thrombocyte number no. ¥ 109/l platelet coun
XR_000007,P_0026,26,2450,3039,TABLE,pymupdf_layout,true,56.71,602.428,521.371,772.75,0,0,78,50c299c66fff361435a93ee049e5b681c4c0bae07dd0698e527a15aac52e745e,Table 2.1 Specifications for batteries used for solar power supply Specification Type of battery Nickel–cadmium Lead–calcium Lead–calcium Lead–calcium antimony 
XR_000008,P_0048,48,58,2389,TABLE,pymupdf_layout,true,184.359,99.888,524.463,777.244,0,0,328,5e2696eb3cb2488369641b39198945085fd472b3ae3bb1f931129e83849637a0,Table 2.2 Equipment and supplies for a peripheral-level health laboratory Item Quantity required Equipment for collection of specimens Essential equipment Syrin
XR_000009,P_0049,49,52,2256,TABLE,pymupdf_layout,true,70.86,99.888,411.023,785.435,0,0,313,3d5adb54bfe4ad52b050196a6e4ee28c844a3871836321706c11b7a976c16e82,"Table 2.2 (cont.) Item Quantity required Flasks, Erlenmeyer, heat-resistant, wide-mouthed, 500ml 3 Flasks, Erlenmeyer, heat-resistant, wide-mouthed, 1000ml 3 Dr"
XR_000010,P_0050,50,58,1505,TABLE,pymupdf_layout,true,184.359,99.888,524.463,769.604,0,0,226,51acbcf486304f9837e3c7505322067dd7f2fe14a6550ee32b987c0888afbae9,"Table 2.2 (cont.) Item Quantity required Loop holders 4 Wooden block for loop holders 1 Protein standard tubes 1 set Test-tube racks, large, for 12 tubes 4 Test"
XR_000011,P_0051,51,52,1049,TABLE,pymupdf_layout,true,70.858,99.888,411.023,476.29,0,0,146,18dd9c28c422c7fc2b1a1e1f788a9cfc12bfba7a4c1134b95a33a8ee6b609bd8,"Table 2.2 (cont.) Item Quantity required Micropipette, 50ml 1 Micropipette, 100ml 1 Micropipette, 200ml 1 Micropipette, 500ml 1 Micropipette tips, plastic, disp"
XR_000012,P_0057,57,1810,2161,TABLE,pymupdf_layout,true,70.806,639.682,407.396,775.341,0,0,59,827f6cf54fb484aa1c13095328374b0da4652bea9fcf2468b9cbaca22b6c28c3,Table 2.3 A sample stock card Item: Giemsa stain (250-ml bottle) Item no.: 29 Ordered from Ordered Received Issued In stock Date Quantity Date Quantity Date Qua
XR_000013,P_0058,58,58,223,TABLE,pymupdf_layout,true,56.35,99.888,518.221,190.75,0,0,28,bff292f701f747df978673c6c35a8fe02ce497810cfa8706626bd5fa76fc23bb,Table 2.4 Estimating the quantity of supplies required Year Quantity used per month Jan. Feb. March April May June July Aug. Sept. Oct. Nov. Dec. 2000 2001 2002
XR_000014,P_0061,61,51,2660,TABLE,pymupdf_layout,true,75.554,99.104,521.791,776.813,0,0,419,1c506038fdfa4a6bc3fb44c840194513c247ce4c944b1992d08b9f37154403d5,two the sent (date) 2.1.01 2.1.01 the and example sent Results (date) 2.1.01 2.1.01 Results in the haemoglobin — — case Other tests quoted that tests positive c
XR_000015,P_0062,62,57,1390,TABLE,pymupdf_layout,true,189.44,105.022,520.408,776.81,0,0,198,561f2426964796de803fd29037fb0beb3f672f5a8d43b1a224f5ca78c81107e1,"sent sent Results (date) 2.1.01 17.1.01 (date) 2.1.01 2.1.01 3.1.01 3.1.01 Results fraction: (specify) few no. 0.06 Gram- 0.94, tests type of Gram- epithelial O"
XR_000016,P_0063,63,52,694,TABLE,pymupdf_layout,true,70.86,100.068,529.674,301.69,0,0,100,1f9d328258220bf53715ee96b0e9d4f4b3637cb672eba11b1077b85d04bd8cde,Table 2.10 Parasitology register Date Specimen Patient Sent by Specimen Examination Results Results sent no. provided requested (date) 2.1.01 1 Mr F Dr A Stool 
XR_000017,P_0063,63,698,1016,TABLE,pymupdf_layout,true,70.86,329.088,531.129,418.21,0,0,50,d2b4bf5d4edfd08de5ade60d712731ed15032198c46b7c3ee4275d78be8bfd5c,Table 2.11 Serology register Date Specimen no. Patient Sent by Specimen Examination requested Results Results sent (date) 3.1.01 1 Mrs P Prenatal clinic Blood E
XR_000018,P_0064,64,58,1099,TABLE,pymupdf_layout,true,184.36,99.978,524.455,706.21,0,0,151,39106173a3735a2dd04291484ba31931568bb5ca682f89a20c9c2802b928e29d,Table 2.12 Sample monthly report for a health laboratory Name of laboratory: Report for the month ending: LABORATORY RECORD Number of examinations carried out H
XR_000019,P_0096,96,58,1661,TABLE,pymupdf_layout,true,56.71,99.889,523.677,506.41,0,0,225,8b6e68d40bfce24dbcb5ccc8a0413971292ae245ffe6b50dd909c64f53322a5c,Table 3.1 Commonly used disinfectants Intended object of Disinfectant Recommended Minimum Stock preparation of disinfection dilution for duration of disinfectan
XR_000020,P_0104,104,0,2853,TABLE,pymupdf_layout,true,56.738,56.54,524.242,749.8,0,0,443,cd291d10bdfd36bdd8c3f772b624941b79bd9b9eb87c8dc13dd1d5592165fd0a,Table 3.2 Dispatch of specimens92 to a reference laboratoryManual of basic techniques for a health laboratory Type of Type of laboratory Container and preservat
XR_000021,P_0105,105,40,1270,TABLE,pymupdf_layout,true,70.86,99.888,538.36,420.85,0,0,188,5991ae9296eb93035121004ea4ec9b0748e98a7d0e4bcaf69b343e3a30cabd35,Table 3.2 (cont.) Type of Type of laboratory Container and preservative Amount of Preservation specimen examination specimen to time send Urine (see Biochemical
