relation_id,chunk_id,image_id,relation_type,page_id,pdf_page,semantic_score,image_type,link_method
rel_chunk_image_000001,C_0001_001,img_000651,ILLUSTRATED_BY,P_0001,1,0.245566,microscopy,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000002,C_0032_002,img_000476,ILLUSTRATED_BY,P_0032,32,0.277131,microscopy,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000003,C_0033_001,img_000091,ILLUSTRATED_BY,P_0033,33,0.285333,microscopy,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000004,C_0034_001,img_000028,ILLUSTRATED_BY,P_0034,34,0.239445,microscopy,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000005,C_0042_002,img_000348,ILLUSTRATED_BY,P_0042,42,0.330118,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000006,C_0043_002,img_000155,ILLUSTRATED_BY,P_0043,43,0.284156,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000007,C_0043_002,img_000220,ILLUSTRATED_BY,P_0043,43,0.275876,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000008,C_0046_001,img_000413,ILLUSTRATED_BY,P_0046,46,0.314155,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000009,C_0047_001,img_000368,ILLUSTRATED_BY,P_0047,47,0.217429,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000010,C_0053_001,img_000628,ILLUSTRATED_BY,P_0053,53,0.291684,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000011,C_0055_001,img_000599,ILLUSTRATED_BY,P_0055,55,0.257664,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000012,C_0086_002,img_000064,ILLUSTRATED_BY,P_0086,86,0.313286,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000013,C_0089_001,img_000288,ILLUSTRATED_BY,P_0089,89,0.293303,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000014,C_0093_002,img_000039,ILLUSTRATED_BY,P_0093,93,0.269353,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000015,C_0099_002,img_000594,ILLUSTRATED_BY,P_0099,99,0.281892,microscopy,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000016,C_0103_002,img_000728,ILLUSTRATED_BY,P_0103,103,0.268174,microscopy,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000017,C_0120_001,img_000418,ILLUSTRATED_BY,P_0120,120,0.277564,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
rel_chunk_image_000018,C_0120_002,img_000461,ILLUSTRATED_BY,P_0120,120,0.254512,clinical_or_laboratory,clip_same_page:openai/clip-vit-base-patch32
