relation_id,start_id,end_id,relation_type,pdf_page
R_DOC_PAGE_0001,DOC_WHO_2003,P_0001,HAS_PAGE,1
R_DOC_PAGE_0002,DOC_WHO_2003,P_0002,HAS_PAGE,2
R_DOC_PAGE_0003,DOC_WHO_2003,P_0003,HAS_PAGE,3
R_DOC_PAGE_0004,DOC_WHO_2003,P_0004,HAS_PAGE,4
R_DOC_PAGE_0005,DOC_WHO_2003,P_0005,HAS_PAGE,5
R_DOC_PAGE_0006,DOC_WHO_2003,P_0006,HAS_PAGE,6
R_DOC_PAGE_0007,DOC_WHO_2003,P_0007,HAS_PAGE,7
R_DOC_PAGE_0008,DOC_WHO_2003,P_0008,HAS_PAGE,8
R_DOC_PAGE_0009,DOC_WHO_2003,P_0009,HAS_PAGE,9
R_DOC_PAGE_0010,DOC_WHO_2003,P_0010,HAS_PAGE,10
R_DOC_PAGE_0011,DOC_WHO_2003,P_0011,HAS_PAGE,11
R_DOC_PAGE_0012,DOC_WHO_2003,P_0012,HAS_PAGE,12
R_DOC_PAGE_0013,DOC_WHO_2003,P_0013,HAS_PAGE,13
R_DOC_PAGE_0014,DOC_WHO_2003,P_0014,HAS_PAGE,14
R_DOC_PAGE_0015,DOC_WHO_2003,P_0015,HAS_PAGE,15
R_DOC_PAGE_0016,DOC_WHO_2003,P_0016,HAS_PAGE,16
R_DOC_PAGE_0017,DOC_WHO_2003,P_0017,HAS_PAGE,17
R_DOC_PAGE_0018,DOC_WHO_2003,P_0018,HAS_PAGE,18
R_DOC_PAGE_0019,DOC_WHO_2003,P_0019,HAS_PAGE,19
R_DOC_PAGE_0020,DOC_WHO_2003,P_0020,HAS_PAGE,20
R_DOC_PAGE_0021,DOC_WHO_2003,P_0021,HAS_PAGE,21
R_DOC_PAGE_0022,DOC_WHO_2003,P_0022,HAS_PAGE,22
R_DOC_PAGE_0023,DOC_WHO_2003,P_0023,HAS_PAGE,23
R_DOC_PAGE_0024,DOC_WHO_2003,P_0024,HAS_PAGE,24
R_DOC_PAGE_0025,DOC_WHO_2003,P_0025,HAS_PAGE,25
R_DOC_PAGE_0026,DOC_WHO_2003,P_0026,HAS_PAGE,26
R_DOC_PAGE_0027,DOC_WHO_2003,P_0027,HAS_PAGE,27
R_DOC_PAGE_0028,DOC_WHO_2003,P_0028,HAS_PAGE,28
R_DOC_PAGE_0029,DOC_WHO_2003,P_0029,HAS_PAGE,29
R_DOC_PAGE_0030,DOC_WHO_2003,P_0030,HAS_PAGE,30
R_DOC_PAGE_0031,DOC_WHO_2003,P_0031,HAS_PAGE,31
R_DOC_PAGE_0032,DOC_WHO_2003,P_0032,HAS_PAGE,32
R_DOC_PAGE_0033,DOC_WHO_2003,P_0033,HAS_PAGE,33
R_DOC_PAGE_0034,DOC_WHO_2003,P_0034,HAS_PAGE,34
R_DOC_PAGE_0035,DOC_WHO_2003,P_0035,HAS_PAGE,35
R_DOC_PAGE_0036,DOC_WHO_2003,P_0036,HAS_PAGE,36
R_DOC_PAGE_0037,DOC_WHO_2003,P_0037,HAS_PAGE,37
R_DOC_PAGE_0038,DOC_WHO_2003,P_0038,HAS_PAGE,38
R_DOC_PAGE_0039,DOC_WHO_2003,P_0039,HAS_PAGE,39
R_DOC_PAGE_0040,DOC_WHO_2003,P_0040,HAS_PAGE,40
R_DOC_PAGE_0041,DOC_WHO_2003,P_0041,HAS_PAGE,41
R_DOC_PAGE_0042,DOC_WHO_2003,P_0042,HAS_PAGE,42
R_DOC_PAGE_0043,DOC_WHO_2003,P_0043,HAS_PAGE,43
R_DOC_PAGE_0044,DOC_WHO_2003,P_0044,HAS_PAGE,44
R_DOC_PAGE_0045,DOC_WHO_2003,P_0045,HAS_PAGE,45
R_DOC_PAGE_0046,DOC_WHO_2003,P_0046,HAS_PAGE,46
