relation_id,start_id,end_id,relation_type,pdf_page,chunk_index_on_page
R_PAGE_CHUNK_C_0001_001,P_0001,C_0001_001,HAS_CHUNK,1,1
R_PAGE_CHUNK_C_0002_001,P_0002,C_0002_001,HAS_CHUNK,2,1
R_PAGE_CHUNK_C_0002_002,P_0002,C_0002_002,HAS_CHUNK,2,2
R_PAGE_CHUNK_C_0003_001,P_0003,C_0003_001,HAS_CHUNK,3,1
R_PAGE_CHUNK_C_0004_001,P_0004,C_0004_001,HAS_CHUNK,4,1
R_PAGE_CHUNK_C_0004_002,P_0004,C_0004_002,HAS_CHUNK,4,2
R_PAGE_CHUNK_C_0005_001,P_0005,C_0005_001,HAS_CHUNK,5,1
R_PAGE_CHUNK_C_0006_001,P_0006,C_0006_001,HAS_CHUNK,6,1
R_PAGE_CHUNK_C_0006_002,P_0006,C_0006_002,HAS_CHUNK,6,2
R_PAGE_CHUNK_C_0007_001,P_0007,C_0007_001,HAS_CHUNK,7,1
R_PAGE_CHUNK_C_0007_002,P_0007,C_0007_002,HAS_CHUNK,7,2
R_PAGE_CHUNK_C_0008_001,P_0008,C_0008_001,HAS_CHUNK,8,1
R_PAGE_CHUNK_C_0008_002,P_0008,C_0008_002,HAS_CHUNK,8,2
R_PAGE_CHUNK_C_0009_001,P_0009,C_0009_001,HAS_CHUNK,9,1
R_PAGE_CHUNK_C_0009_002,P_0009,C_0009_002,HAS_CHUNK,9,2
R_PAGE_CHUNK_C_0010_001,P_0010,C_0010_001,HAS_CHUNK,10,1
R_PAGE_CHUNK_C_0010_002,P_0010,C_0010_002,HAS_CHUNK,10,2
R_PAGE_CHUNK_C_0011_001,P_0011,C_0011_001,HAS_CHUNK,11,1
R_PAGE_CHUNK_C_0011_002,P_0011,C_0011_002,HAS_CHUNK,11,2
R_PAGE_CHUNK_C_0012_001,P_0012,C_0012_001,HAS_CHUNK,12,1
R_PAGE_CHUNK_C_0013_001,P_0013,C_0013_001,HAS_CHUNK,13,1
