relation_id,page_id,image_id,relation_type,pdf_page,printed_page,occurrence_index_on_page,xref,bbox_x0,bbox_y0,bbox_x1,bbox_y1,page_coverage
rel_page_image_000001,P_0001,img_000716,CONTAINS_IMAGE,1,,1,2357,270.84198,706.75,320.512573,754.25,0.0046448241
rel_page_image_000002,P_0001,img_000129,CONTAINS_IMAGE,1,,2,2355,229.001465,352.252991,379.749451,445.079498,0.0275486197
rel_page_image_000003,P_0001,img_000382,CONTAINS_IMAGE,1,,3,2356,-45.007996,751.900024,-20.048595,775.75,0.0011719212
rel_page_image_000004,P_0001,img_000651,CONTAINS_IMAGE,1,,4,2358,228.09198,352.25,362.59198,446.049988,0.0248371283
rel_page_image_000005,P_0003,img_000255,CONTAINS_IMAGE,3,,1,7,278.950012,659.100037,330.07782,707.900024,0.004980212
rel_page_image_000006,P_0023,img_000713,CONTAINS_IMAGE,23,11,1,68,68.650002,352.400024,536.850037,767.400024,0.3878381097
rel_page_image_000007,P_0024,img_000649,CONTAINS_IMAGE,24,12,1,72,117.349998,99.299988,525.16449,580.950073,0.3920714676
rel_page_image_000008,P_0028,img_000167,CONTAINS_IMAGE,28,16,1,85,56.0928,100.240402,267.092804,344.320404,0.1027982222
rel_page_image_000009,P_0028,img_000207,CONTAINS_IMAGE,28,16,2,86,55.999001,238.167221,63.438999,269.907227,0.0004713579
rel_page_image_000010,P_0028,img_000678,CONTAINS_IMAGE,28,16,3,87,357.978302,660.165527,524.988281,765.755493,0.0351994611
rel_page_image_000011,P_0028,img_000540,CONTAINS_IMAGE,28,16,4,88,517.745728,728.184021,523.986145,759.861023,0.0003945742
rel_page_image_000012,P_0028,img_000378,CONTAINS_IMAGE,28,16,5,89,156.800003,684.949951,225.670013,764.849976,0.0109836833
rel_page_image_000013,P_0028,img_000182,CONTAINS_IMAGE,28,16,6,90,242.699997,694.75,341.109985,765.150024,0.0138287502
rel_page_image_000014,P_0029,img_000482,CONTAINS_IMAGE,29,17,1,94,70.849998,661.450012,244.372009,765.200012,0.0359346666
rel_page_image_000015,P_0029,img_000301,CONTAINS_IMAGE,29,17,2,95,301.049988,634.5,519.921997,764.950012,0.0569908706
