chunk_id,page,tokens,text
T_00001,1,414,"World Health Organization Geneva This manual provides a practical guide to the safe and accurate performance of basic laboratory techniques. Intended for use by laboratory technicians working in peripheral-level laboratories in developing countries, the book emphasizes simple, economical procedures that can yield accurate results where resources, including equipment, are scarce and the climate is hot and humid. The book is divided into three parts. The first describes the setting-up of a peripheral health laboratory and general laboratory procedures, including use of a microscope and laboratory balances, centrifugation, measurement and dispensing of liquids, and cleaning, disinfection and sterilization of laboratory equipment. Methods of disposal of laboratory waste, dispatch of specimens to reference laboratories and labora- tory safety are also discussed. The second part describes techniques for the examination of different specimens for helminths, protozoa, bacteria and fungi. Techniques for the preparation, fixation and staining of smears are also discussed. The third and final part describes the examination of urine, cerebrospinal fluid and blood, including techniques based on immunological and serological principles. For each technique, a list of materials and reagents is given, followed by a detailed description of the method and the results of microscopic examination. Numerous illustrations are used throughout the book to clarify the different steps involved. A summary of the reagents required for the various techniques and their preparation is provided in the annex. M A N U A L O F B A S I C TECHNIQUES FOR A HEALTH LABORATORY 2 n d e d i t i o n MANUAL OF BASIC TECHNIQUES FOR A HEAL TH LABORA TORY – 2nd edition WHO 9 789241 545303 ISBN 92-4-154530-5 <> The World Health Organization was established in 1948 as a specialized agency of the United Nations serving as the directing and coordinating authority for international health matters and public health. One of WHO’s constitutional functions is to provide objective and reliable information and advice in the field of human health, a responsibility that it fulfils in part through its extensive programme of publications. The Organization seeks through its publications to support national health strategies and address the most pressing public health concerns of populations around the world. To respond to the needs of Member States at all levels of development, WHO publishes practical manuals, handbooks and training material for specific categories of health workers; internationally applicable guidelines and standards; reviews and analyses of health policies, programmes and research; and state-of-the-art consensus reports that offer technical advice and recommendations for decision-makers."
T_00002,2,337,"a specialized agency of the United Nations serving as the directing and coordinating authority for international health matters and public health. One of WHO’s constitutional functions is to provide objective and reliable information and advice in the field of human health, a responsibility that it fulfils in part through its extensive programme of publications. The Organization seeks through its publications to support national health strategies and address the most pressing public health concerns of populations around the world. To respond to the needs of Member States at all levels of development, WHO publishes practical manuals, handbooks and training material for specific categories of health workers; internationally applicable guidelines and standards; reviews and analyses of health policies, programmes and research; and state-of-the-art consensus reports that offer technical advice and recommendations for decision-makers. These books are closely tied to the Organization’s priority activities, encompassing disease prevention and control, the development of equitable health systems based on primary health care, and health promotion for individuals and communities. Progress towards better health for all also demands the global dissemination and exchange of information that draws on the knowledge and experience of all WHO’s Member countries and the collaboration of world leaders in public health and the biomedical sciences. To ensure the widest possible availability of authoritative information and guidance on health matters, WHO secures the broad international distribution of its publications and encourages their translation and adaptation. By helping to promote and protect health and prevent and control disease throughout the world, WHO’s books contribute to achieving the Organization’s principal objective – the attainment by all people of the highest possible level of health. Selected WHO publications of related interest Basic laboratory methods in medical parasitology. 1991 (122 pages) Basic laboratory methods in clinical bacteriology. 1991 (128 pages) Laboratory diagnosis of sexually transmitted diseases. Van Dyck E, Meheus AZ, Piot P. 1999 (146 pages) Maintenance and repair of laboratory, diagnostic imaging, and hospital equipment. 1994 (164 pages) Safe management of wastes from health-care activities. Prüss A, Giroult E, Rushbrook P, eds."
T_00003,2,275,"helping to promote and protect health and prevent and control disease throughout the world, WHO’s books contribute to achieving the Organization’s principal objective – the attainment by all people of the highest possible level of health. Selected WHO publications of related interest Basic laboratory methods in medical parasitology. 1991 (122 pages) Basic laboratory methods in clinical bacteriology. 1991 (128 pages) Laboratory diagnosis of sexually transmitted diseases. Van Dyck E, Meheus AZ, Piot P. 1999 (146 pages) Maintenance and repair of laboratory, diagnostic imaging, and hospital equipment. 1994 (164 pages) Safe management of wastes from health-care activities. Prüss A, Giroult E, Rushbrook P, eds. 1999 (244 pages) Safety in health-care laboratories. (document WHO/LAB/97.1) 1997 (157 pages) Laboratory biosafety manual, 2nd ed. 1993 (133 pages) Basics of quality assurance for intermediate and peripheral laboratories, 2nd ed. El-Nageh MM et al. WHO Regional Publications, Eastern Mediterranean Series, No. 2 2002 (256 pages) Further information on these and other WHO publications can be obtained from Marketing and Dissemination, World Health Organization, 1211 Geneva 27, Switzerland. <> Contents i Manual of basic techniques for a health laboratory Second edition World Health Organization Geneva <> ii Manual of basic techniques for a health laboratory © World Health Organization 2003 All rights reserved. Publications of the World Health Organization can be obtained from Marketing and Dissemination, World Health Organization, 20 Avenue Appia, 1211 Geneva 27, Switzerland (tel.: +41 22 791 2476; fax: +41 22 791 4857; e-mail: bookorders@who.int). Requests for permission to reproduce or translate WHO publications – whether for sale or for noncommercial distribution – should be addressed to Publications, at the above address (fax: +41 22 791 4806; e-mail: permissions@who.int)."
T_00004,4,303,"edition World Health Organization Geneva <> ii Manual of basic techniques for a health laboratory © World Health Organization 2003 All rights reserved. Publications of the World Health Organization can be obtained from Marketing and Dissemination, World Health Organization, 20 Avenue Appia, 1211 Geneva 27, Switzerland (tel.: +41 22 791 2476; fax: +41 22 791 4857; e-mail: bookorders@who.int). Requests for permission to reproduce or translate WHO publications – whether for sale or for noncommercial distribution – should be addressed to Publications, at the above address (fax: +41 22 791 4806; e-mail: permissions@who.int). The designations employed and the presentation of the material in this publication do not imply the expression of any opinion whatsoever on the part of the World Health Organization concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries. Dotted lines on maps represent approximate border lines for which there may not yet be full agreement. The mention of specific companies or of certain manufacturers’ products does not imply that they are endorsed or recommended by the World Health Organization in preference to others of a similar nature that are not mentioned. Errors and omissions excepted, the names of proprietary products are distinguished by initial capital letters. The World Health Organization does not warrant that the information contained in this publication is complete and correct and shall not be liable for any damages incurred as a result of its use. WHO Library Cataloguing-in-Publication Data Manual of basic techniques for a health laboratory. — 2nd ed. 1.Clinical laboratory techniques — handbooks 2.Technology, Medical — handbooks 3.Manuals ISBN 92 4 154530 5 (NLM classification: QY 25) Design by minimum graphics Typeset in Hong Kong Printed in Malta 99/12670 — SNPBest-set/Interprint — 15000 <> Contents iii Contents Preface x 1."
T_00005,6,301,"initial capital letters. The World Health Organization does not warrant that the information contained in this publication is complete and correct and shall not be liable for any damages incurred as a result of its use. WHO Library Cataloguing-in-Publication Data Manual of basic techniques for a health laboratory. — 2nd ed. 1.Clinical laboratory techniques — handbooks 2.Technology, Medical — handbooks 3.Manuals ISBN 92 4 154530 5 (NLM classification: QY 25) Design by minimum graphics Typeset in Hong Kong Printed in Malta 99/12670 — SNPBest-set/Interprint — 15000 <> Contents iii Contents Preface x 1. Introduction 1 1.1 Aim of the manual 1 1.2 Reagents and equipment 1 1.2.1 Reagents 1 1.2.2 Equipment 1 1.3 The responsibility of laboratory workers 2 1.4 Units of measurement 2 1.4.1 Quantities and units in the clinical laboratory 2 1.4.2 SI units and names for quantities 2 PART I 9 2. Setting up a peripheral health laboratory 11 2.1 Plan of a peripheral medical laboratory 11 2.1.1 A one-room laboratory 11 2.1.2 A two-room laboratory 12 2.2 Electricity 12 2.2.1 Sources of electricity 13 2.2.2 Setting up simple electrical equipment 15 2.2.3 What to do in case of failure of electrical equipment 17 2.3 Plumbing: simple procedures 20 2.3.1 Tools and materials 20 2.3.2 Taps 20 2.3.3 Sink traps 22 2.4 Water for laboratory use 23 2.4.1 Clean water 24 2.4.2 Distilled water 24 2.4.3 Demineralized water 27 2.4.4 Buffered water 29 2.5 Equipment 32 2.5.1 Essential laboratory instruments 32 2.5.2 Additional items 33 2.5.3 Equipment and supplies 33 2.5.4 Making glass equipment 33 2.5.5 Specimen containers 42 2.5.6 Storage, stocktaking and ordering supplies 45 2.6 Registration of specimens and preparation of monthly reports 46 2.6.1 Registration of specimens 46 <> iv Manual of basic techniques for a health laboratory 2.6.2 Preparation of monthly reports 47 3."
T_00006,8,298,".3 Demineralized water 27 2.4.4 Buffered water 29 2.5 Equipment 32 2.5.1 Essential laboratory instruments 32 2.5.2 Additional items 33 2.5.3 Equipment and supplies 33 2.5.4 Making glass equipment 33 2.5.5 Specimen containers 42 2.5.6 Storage, stocktaking and ordering supplies 45 2.6 Registration of specimens and preparation of monthly reports 46 2.6.1 Registration of specimens 46 <> iv Manual of basic techniques for a health laboratory 2.6.2 Preparation of monthly reports 47 3. General laboratory procedures 53 3.1 Use of a microscope 53 3.1.1 Components of a microscope 53 3.1.2 Setting up the microscope 58 3.1.3 Focusing the objective 61 3.1.4 Use of an ocular micrometer 63 3.1.5 Dark-field microscopy 64 3.1.6 Routine maintenance 64 3.2 Weighing: use of laboratory balances 66 3.2.1 Sensitivity of a balance 67 3.2.2 Open two-pan balance 67 3.2.3 Analytical balance 68 3.2.4 Dispensary balance 69 3.3 Centrifugation 69 3.3.1 Principle 69 3.3.2 Types of centrifuge 70 3.3.3 Instructions for use 71 3.4 Measurement and dispensing of liquids 73 3.4.1 Pipettes 73 3.4.2 Volumetric flasks 75 3.4.3 Burettes 77 3.4.4 Graduated conical glasses 77 3.5 Cleaning, disinfection and sterilization 77 3.5.1 Cleaning glassware and reusable syringes and needles 77 3.5.2 Cleaning non-disposable specimen containers 81 3.5.3 Cleaning and maintenance of other laboratory equipment 83 3.5.4 Disinfectants 83 3.5.5 Sterilization 85 3.6 Disposal of laboratory waste 90 3.6.1 Disposal of specimens and contaminated material 90 3.6.2 Incineration of disposable materials 90 3.6.3 Burial of disposable materials 91 3.7 Dispatch of specimens to a reference laboratory 91 3.7.1 Packing specimens for dispatch 91 3.7.2 Fixation and dispatch of biopsy specimens for histopathological examination 95 3.8 Safety in the laboratory 96 3.8.1 Precautions to prevent accidents 97 3.8.2 First aid in laboratory accidents 98 3.9 Quality assurance in the laboratory 101 3.9.1 Specimen collection 102 4."
T_00007,9,222,90 3.6.1 Disposal of specimens and contaminated material 90 3.6.2 Incineration of disposable materials 90 3.6.3 Burial of disposable materials 91 3.7 Dispatch of specimens to a reference laboratory 91 3.7.1 Packing specimens for dispatch 91 3.7.2 Fixation and dispatch of biopsy specimens for histopathological examination 95 3.8 Safety in the laboratory 96 3.8.1 Precautions to prevent accidents 97 3.8.2 First aid in laboratory accidents 98 3.9 Quality assurance in the laboratory 101 3.9.1 Specimen collection 102 4. Parasitology 105 4.1 Introduction 105 4.2 Examination of stool specimens for parasites 107 <> Contents v 4.2.1 Collection of specimens 107 4.2.2 Visual examination 107 4.2.3 Microscopic examination 107 4.2.4 Dispatch of stools for detection of parasites 109 4.3 Intestinal protozoa 111 4.3.1 Identification of motile forms (trophozoites) 111 4.3.2 Identification of cysts 118 4.4 Intestinal helminths 125 4.4.1 Identification of eggs 126 4.4.2 Identification of adult helminths 146 4.5 Techniques for concentrating parasites 152 4.5.1 Flotation technique using sodium chloride solution (Willis) 152 4.5.2 Formaldehyde–ether sedimentation technique (Allen & Ridley) 153 4.5.3 Formaldehyde–detergent sedimentation technique 154 4.5.4 Sedimentation technique for larvae of Strongyloides stercoralis (Harada–Mori) 156 4.6 Chemical test for occult blood in stools 157 4.6.1 Principle 157 4.6.2 Materials and reagents 157 4.6.3 Method 158 4.6.4 Results 159 4.7 Parasites of the blood and skin 159 4.7.1 Filariae 159 4.7.2 Plasmodium spp.
T_00008,10,375,"2 Formaldehyde–ether sedimentation technique (Allen & Ridley) 153 4.5.3 Formaldehyde–detergent sedimentation technique 154 4.5.4 Sedimentation technique for larvae of Strongyloides stercoralis (Harada–Mori) 156 4.6 Chemical test for occult blood in stools 157 4.6.1 Principle 157 4.6.2 Materials and reagents 157 4.6.3 Method 158 4.6.4 Results 159 4.7 Parasites of the blood and skin 159 4.7.1 Filariae 159 4.7.2 Plasmodium spp. 172 4.7.3 Trypanosoma spp. 182 4.7.4 Leishmania spp. 194 5. Bacteriology 197 5.1 Introduction 197 5.2 Preparation and fixation of smears 197 5.2.1 Principle 197 5.2.2 Materials and reagents 197 5.2.3 Preparation of smears 198 5.2.4 Fixation of smears 199 5.3 Staining techniques 199 5.3.1 Gram staining 199 5.3.2 Staining with Albert stain (for the detection of Corynebacterium diphtheriae ) 201 5.3.3 Staining with Ziehl–Neelsen stain (for the detection of acid-fast bacilli) 202 5.3.4 Staining with Wayson stain (for the detection of Yersinia pestis) 203 5.3.5 Staining with Loeffler methylene blue (for the detection of Bacillus anthracis ) 204 5.4 Examination of sputum specimens and throat swabs 204 5.4.1 Materials and reagents 205 5.4.2 Method 205 5.4.3 Microscopic examination 206 5.4.4 Dispatch of specimens for culture 206 <> vi Manual of basic techniques for a health laboratory 5.5 Examination of urogenital specimens for gonorrhoea 207 5.5.1 Materials and reagents 207 5.5.2 Method 207 5.5.3 Microscopic examination 208 5.5.4 Dispatch of specimens for culture 209 5.6 Examination of genital specimens for syphilis 209 5.6.1 Materials and reagents 210 5.6.2 Method 210 5.6.3 Microscopic examination 211 5.7 Examination of semen specimens 211 5.7.1 Materials and reagents 211 5.7.2 Method 212 5.7.3 Macroscopic examination 212 5.7.4 Microscopic examination 212 5.8 Examination of vaginal discharge 215 5.8.1 Materials and reagents 215 5.8.2 Method 215 5.8.3 Microscopic examination 215 5.9 Examination of watery stool specimens 216 5.9.1 Materials and reagents 216 5.9.2 Method 216 5.9.3 Microscopic examination 216 5.9.4 Dispatch of specimens for culture 216 5.10 Examination of aspirates, exudates and effusions 218 5.10.1 Materials and reagents 218 5.10.2 Method 218 5.10.3 Microscopic examination 219 5.11 Examination of pus for Bacillus anthracis 219 5.11.1 Materials and reagents 219 5.11.2 Method 220 5.11.3 Microscopic examination 220 5.12 Examination of skin smears and nasal scrapings for Mycobacterium leprae 220 5.12.1 Materials and reagents 220 5.12.2 Method 221 5.12.3 Microscopic examination 223 6."
T_00009,11,199,"Examination of aspirates, exudates and effusions 218 5.10.1 Materials and reagents 218 5.10.2 Method 218 5.10.3 Microscopic examination 219 5.11 Examination of pus for Bacillus anthracis 219 5.11.1 Materials and reagents 219 5.11.2 Method 220 5.11.3 Microscopic examination 220 5.12 Examination of skin smears and nasal scrapings for Mycobacterium leprae 220 5.12.1 Materials and reagents 220 5.12.2 Method 221 5.12.3 Microscopic examination 223 6. Mycology 225 6.1 Examination of skin and hair for fungi 225 6.1.1 Materials and reagents 225 6.1.2 Method 225 6.2 Examination of pus for mycetoma 226 6.2.1 Materials and reagents 227 6.2.2 Method 227 6.3 Examination of skin for pityriasis versicolor 227 6.3.1 Materials and reagents 227 6.3.2 Method 228 <> Contents vii 7. Examination of urine 233 7.1 Collection of urine specimens 233 7.1.1 Types of urine specimen 233 7.1.2 Preservation of urine specimens 234 7.2 Examination of urine specimens 234 7.2.1 Appearance 234 7.2.2 Testing for the presence of blood 234 7.2.3 Measuring the pH 235 7.2.4 Detection of glucose 236 7.2.5 Detection and estimation of protein 236 7.2.6 Detection of ketone bodies 239 7.2.7 Detection of abnormal elements 240 7.2.8 Detection of Schistosoma haematobium infection 249 7.2.9 Detection of bacteria 251 8."
T_00010,12,430,7.1.1 Types of urine specimen 233 7.1.2 Preservation of urine specimens 234 7.2 Examination of urine specimens 234 7.2.1 Appearance 234 7.2.2 Testing for the presence of blood 234 7.2.3 Measuring the pH 235 7.2.4 Detection of glucose 236 7.2.5 Detection and estimation of protein 236 7.2.6 Detection of ketone bodies 239 7.2.7 Detection of abnormal elements 240 7.2.8 Detection of Schistosoma haematobium infection 249 7.2.9 Detection of bacteria 251 8. Examination of cerebrospinal fluid (CSF) 255 8.1 Common reasons for investigation of CSF 255 8.2 Collection of CSF specimens 255 8.3 Examination of CSF specimens 255 8.3.1 Precautions 255 8.3.2 Direct examination 256 8.3.3 Microscopic examination 257 8.3.4 Determination of glucose concentration 261 8.3.5 Determination of protein concentration 262 8.3.6 Summary 263 8.4 Dispatch of CSF specimens for culture 263 8.4.1 Materials and reagents 263 8.4.2 Method using Stuart transport medium (for the isolation of Neisseria meningitidis ) 264 9. Haematology 265 9.1 Types of blood cell 265 9.1.1 Erythrocytes 265 9.1.2 Leukocytes 265 9.1.3 Thrombocytes 266 9.2 Collection of blood specimens 267 9.2.1 Principle 267 9.2.2 Materials and reagents 267 9.2.3 Method 267 9.3 Estimation of the haemoglobin concentration 271 9.3.1 Haemiglobincyanide photometric method 271 9.3.2 Alkaline haematin D method 276 9.4 Estimation of the erythrocyte volume fraction 279 9.4.1 Micro-scale method 280 9.4.2 Macro-scale method 286 9.5 Estimation of the erythrocyte number concentration 287 <> viii Manual of basic techniques for a health laboratory 9.6 Estimation of the leukocyte number concentration 288 9.6.1 Principle 288 9.6.2 Materials and reagents 288 9.6.3 Method 289 9.6.4 Results 291 9.7 Measurement of the erythrocyte sedimentation rate 292 9.7.1 Principle 292 9.7.2 Materials and reagents 292 9.7.3 Method 292 9.7.4 Results 293 9.8 Measurement of the bleeding time: Duke method 295 9.8.1 Principle 295 9.8.2 Materials and reagents 295 9.8.3 Method 295 9.8.4 Results 296 9.9 Observation of clot retraction and measurement of lysis time 297 9.9.1 Principle 297 9.9.2 Materials 297 9.9.3 Method 297 9.9.4 Results 298 9.10 Preparation and staining of thin blood films 299 9.10.1 Principle 299 9.10.2 Materials and reagents 299 9.10.3 Method 300 9.10.4 Microscopic examination 305 9.11 Test for sickle-cell anaemia 314 9.11.1 Principle 314 9.11.2 Materials and reagents 314 9.11.3 Method 315 9.11.4 Microscopic examination 315 9.12 Determination of the reticulocyte number concentration/fraction 316 9.12.1 Principle 316 9.12.2 Materials and reagents 316 9.12.3 Method 317 9.12.4 Microscopic examination 318 9.13 Determination of the leukocyte type number fraction 319 9.13.1 Principle 319 9.13.2 Materials 319 9.13.3 Microscopic examination 320 9.14 Determination of the thrombocyte number concentration 321 9.14.1 Materials 321 9.14.2 Microscopic examination 321 10.
